world_cup,date,team 1,team 2,score team 1,score team 2,penalties team 1,penalties team 2,Location,phase,attendance,year,host
1994 FIFA World Cup,6/25/1994,Argentina,Nigeria,2,1,,,Boston ,Group stage,54453,1994,USA
1994 FIFA World Cup,6/25/1994,Belgium,Netherlands,1,0,,,Orlando ,Group stage,62387,1994,USA
1994 FIFA World Cup,6/25/1994,Saudi Arabia,Morocco,2,1,,,New York/New Jersey ,Group stage,76322,1994,USA
1994 FIFA World Cup,6/26/1994,Bulgaria,Greece,4,0,,,Chicago ,Group stage,63160,1994,USA
1994 FIFA World Cup,6/26/1994,Switzerland,Colombia,0,2,,,San Francisco ,Group stage,83401,1994,USA
1994 FIFA World Cup,6/26/1994,USA,Romania,0,1,,,Los Angeles ,Group stage,93869,1994,USA
1994 FIFA World Cup,6/27/1994,Bolivia,Spain,1,3,,,Chicago ,Group stage,63089,1994,USA
1994 FIFA World Cup,6/27/1994,Germany,South Korea,3,2,,,Dallas ,Group stage,63998,1994,USA
1994 FIFA World Cup,6/28/1994,Brazil,Sweden,1,1,,,Detroit ,Group stage,77217,1994,USA
1994 FIFA World Cup,6/28/1994,Italy,Mexico,1,1,,,Washington Dc ,Group stage,52535,1994,USA
1994 FIFA World Cup,6/28/1994,Republic of Ireland,Norway,0,0,,,New York/New Jersey ,Group stage,72404,1994,USA
1994 FIFA World Cup,6/28/1994,Russia,Cameroon,6,1,,,San Francisco ,Group stage,74914,1994,USA
1994 FIFA World Cup,6/29/1994,Belgium,Saudi Arabia,0,1,,,Washington Dc ,Group stage,52959,1994,USA
1994 FIFA World Cup,6/29/1994,Morocco,Netherlands,1,2,,,Orlando ,Group stage,60578,1994,USA
1994 FIFA World Cup,6/30/1994,Argentina,Bulgaria,0,2,,,Dallas ,Group stage,63998,1994,USA
1994 FIFA World Cup,6/30/1994,Greece,Nigeria,0,2,,,Boston ,Group stage,53001,1994,USA
1994 FIFA World Cup,7/2/1994,Germany,Belgium,3,2,,,Chicago ,Round of 16,60246,1994,USA
1994 FIFA World Cup,7/2/1994,Spain,Switzerland,3,0,,,Washington Dc ,Round of 16,53121,1994,USA
1994 FIFA World Cup,7/3/1994,Romania,Argentina,3,2,,,Los Angeles ,Round of 16,90469,1994,USA
1994 FIFA World Cup,7/3/1994,Saudi Arabia,Sweden,1,3,,,Dallas ,Round of 16,60277,1994,USA
1994 FIFA World Cup,7/4/1994,Brazil,USA,1,0,,,San Francisco ,Round of 16,84147,1994,USA
1994 FIFA World Cup,7/4/1994,Netherlands,Republic of Ireland,2,0,,,Orlando ,Round of 16,61355,1994,USA
1994 FIFA World Cup,7/5/1994,Mexico,Bulgaria,1,1,,,New York/New Jersey ,Round of 16,71030,1994,USA
1994 FIFA World Cup,7/5/1994,Nigeria,Italy,1,2,,,Boston ,Round of 16,54367,1994,USA
1994 FIFA World Cup,7/9/1994,Italy,Spain,2,1,,,Boston ,Quarter-finals,53400,1994,USA
1994 FIFA World Cup,7/9/1994,Netherlands,Brazil,2,3,,,Dallas ,Quarter-finals,63500,1994,USA
1994 FIFA World Cup,7/10/1994,Bulgaria,Germany,2,1,,,New York/New Jersey ,Quarter-finals,72000,1994,USA
1994 FIFA World Cup,7/10/1994,Romania,Sweden,2,2,,,San Francisco ,Quarter-finals,83500,1994,USA
1994 FIFA World Cup,7/13/1994,Bulgaria,Italy,1,2,,,New York/New Jersey ,Semi-finals,74110,1994,USA
1994 FIFA World Cup,7/13/1994,Sweden,Brazil,0,1,,,Los Angeles ,Semi-finals,91856,1994,USA
1994 FIFA World Cup,7/16/1994,Sweden,Bulgaria,4,0,,,Los Angeles ,Match for third place,91500,1994,USA
1994 FIFA World Cup,7/17/1994,Brazil,Italy,0,0,3,2,Los Angeles ,Final,94194,1994,USA
1998 FIFA World Cup,6/10/1998,Brazil,Scotland,2,1,,,Saint-Denis ,Group stage,80000,1998,France
1998 FIFA World Cup,6/10/1998,Morocco,Norway,2,2,,,Montpellier ,Group stage,29800,1998,France
1998 FIFA World Cup,6/11/1998,Cameroon,Austria,1,1,,,Toulouse ,Group stage,33500,1998,France
1998 FIFA World Cup,6/11/1998,Italy,Chile,2,2,,,Bordeaux ,Group stage,31800,1998,France
1998 FIFA World Cup,6/12/1998,France,South Africa,3,0,,,Marseilles ,Group stage,55000,1998,France
1998 FIFA World Cup,6/12/1998,Paraguay,Bulgaria,0,0,,,Montpellier ,Group stage,29800,1998,France
1998 FIFA World Cup,6/12/1998,Saudi Arabia,Denmark,0,1,,,Lens ,Group stage,38100,1998,France
1998 FIFA World Cup,6/13/1998,South Korea,Mexico,1,3,,,Lyon ,Group stage,39100,1998,France
1998 FIFA World Cup,6/13/1998,Netherlands,Belgium,0,0,,,Saint-Denis ,Group stage,77000,1998,France
1998 FIFA World Cup,6/13/1998,Spain,Nigeria,2,3,,,Nantes ,Group stage,35500,1998,France
1998 FIFA World Cup,6/14/1998,Argentina,Japan,1,0,,,Toulouse ,Group stage,33500,1998,France
1998 FIFA World Cup,6/14/1998,Jamaica,Croatia,1,3,,,Lens ,Group stage,38100,1998,France
1998 FIFA World Cup,6/14/1998,Yugoslavia,Iran,1,0,,,St. Etienne ,Group stage,30600,1998,France
1998 FIFA World Cup,6/15/1998,England,Tunisia,2,0,,,Marseilles ,Group stage,55000,1998,France
1998 FIFA World Cup,6/15/1998,Germany,USA,2,0,,,Paris ,Group stage,45500,1998,France
1998 FIFA World Cup,6/15/1998,Romania,Colombia,1,0,,,Lyon ,Group stage,39100,1998,France
1998 FIFA World Cup,6/16/1998,Brazil,Morocco,3,0,,,Nantes ,Group stage,35500,1998,France
1998 FIFA World Cup,6/16/1998,Scotland,Norway,1,1,,,Bordeaux ,Group stage,31800,1998,France
1998 FIFA World Cup,6/17/1998,Chile,Austria,1,1,,,St. Etienne ,Group stage,30600,1998,France
1998 FIFA World Cup,6/17/1998,Italy,Cameroon,3,0,,,Montpellier ,Group stage,29800,1998,France
1998 FIFA World Cup,6/18/1998,France,Saudi Arabia,4,0,,,Saint-Denis ,Group stage,80000,1998,France
1998 FIFA World Cup,6/18/1998,South Africa,Denmark,1,1,,,Toulouse ,Group stage,33500,1998,France
1998 FIFA World Cup,6/19/1998,Nigeria,Bulgaria,1,0,,,Paris ,Group stage,45500,1998,France
1998 FIFA World Cup,6/19/1998,Spain,Paraguay,0,0,,,St. Etienne ,Group stage,30600,1998,France
1998 FIFA World Cup,6/20/1998,Belgium,Mexico,2,2,,,Bordeaux ,Group stage,31800,1998,France
1998 FIFA World Cup,6/20/1998,Japan,Croatia,0,1,,,Nantes ,Group stage,35500,1998,France
1998 FIFA World Cup,6/20/1998,Netherlands,South Korea,5,0,,,Marseilles ,Group stage,55000,1998,France
1998 FIFA World Cup,6/21/1998,Argentina,Jamaica,5,0,,,Paris ,Group stage,45500,1998,France
1998 FIFA World Cup,6/21/1998,Germany,Yugoslavia,2,2,,,Lens ,Group stage,38100,1998,France
1998 FIFA World Cup,6/21/1998,USA,Iran,1,2,,,Lyon ,Group stage,39100,1998,France
1998 FIFA World Cup,6/22/1998,Colombia,Tunisia,1,0,,,Montpellier ,Group stage,29800,1998,France
1998 FIFA World Cup,6/22/1998,Romania,England,2,1,,,Toulouse ,Group stage,33500,1998,France
1998 FIFA World Cup,6/23/1998,Brazil,Norway,1,2,,,Marseilles ,Group stage,55000,1998,France
1998 FIFA World Cup,6/23/1998,Chile,Cameroon,1,1,,,Nantes ,Group stage,35500,1998,France
1998 FIFA World Cup,6/23/1998,Italy,Austria,2,1,,,Saint-Denis ,Group stage,80000,1998,France
1998 FIFA World Cup,6/23/1998,Scotland,Morocco,0,3,,,St. Etienne ,Group stage,30600,1998,France
1998 FIFA World Cup,6/24/1998,France,Denmark,2,1,,,Lyon ,Group stage,39100,1998,France
1998 FIFA World Cup,6/24/1998,Nigeria,Paraguay,1,3,,,Toulouse ,Group stage,33500,1998,France
1998 FIFA World Cup,6/24/1998,South Africa,Saudi Arabia,2,2,,,Bordeaux ,Group stage,31800,1998,France
1998 FIFA World Cup,6/24/1998,Spain,Bulgaria,6,1,,,Lens ,Group stage,38100,1998,France
1998 FIFA World Cup,6/25/1998,Belgium,South Korea,1,1,,,Paris ,Group stage,45500,1998,France
1998 FIFA World Cup,6/25/1998,Germany,Iran,2,0,,,Montpellier ,Group stage,29800,1998,France
1998 FIFA World Cup,6/25/1998,Netherlands,Mexico,2,2,,,St. Etienne ,Group stage,30600,1998,France
1998 FIFA World Cup,6/25/1998,USA,Yugoslavia,0,1,,,Nantes ,Group stage,35500,1998,France
1998 FIFA World Cup,6/26/1998,Argentina,Croatia,1,0,,,Bordeaux ,Group stage,31800,1998,France
1998 FIFA World Cup,6/26/1998,Colombia,England,0,2,,,Lens ,Group stage,38100,1998,France
1998 FIFA World Cup,6/26/1998,Japan,Jamaica,1,2,,,Lyon ,Group stage,39100,1998,France
1998 FIFA World Cup,6/26/1998,Romania,Tunisia,1,1,,,Saint-Denis ,Group stage,77000,1998,France
1998 FIFA World Cup,6/27/1998,Brazil,Chile,4,1,,,Paris ,Round of 16,45500,1998,France
1998 FIFA World Cup,6/27/1998,Italy,Norway,1,0,,,Marseilles ,Round of 16,55000,1998,France
1998 FIFA World Cup,6/28/1998,France,Paraguay,1,0,,,Lens ,Round of 16,31800,1998,France
1998 FIFA World Cup,6/28/1998,Nigeria,Denmark,1,4,,,Saint-Denis ,Round of 16,77000,1998,France
1998 FIFA World Cup,6/29/1998,Germany,Mexico,2,1,,,Montpellier ,Round of 16,29800,1998,France
1998 FIFA World Cup,6/29/1998,Netherlands,Yugoslavia,2,1,,,Toulouse ,Round of 16,33500,1998,France
1998 FIFA World Cup,6/30/1998,Argentina,England,2,2,,,St. Etienne ,Round of 16,30600,1998,France
1998 FIFA World Cup,6/30/1998,Romania,Croatia,0,1,,,Bordeaux ,Round of 16,31800,1998,France
1998 FIFA World Cup,7/3/1998,Brazil,Denmark,3,2,,,Nantes ,Quarter-finals,35500,1998,France
1998 FIFA World Cup,7/3/1998,Italy,France,0,0,,,Saint-Denis ,Quarter-finals,77000,1998,France
1998 FIFA World Cup,7/4/1998,Germany,Croatia,0,3,,,Lyon ,Quarter-finals,39100,1998,France
1998 FIFA World Cup,7/4/1998,Netherlands,Argentina,2,1,,,Marseilles ,Quarter-finals,55000,1998,France
1998 FIFA World Cup,7/7/1998,Brazil,Netherlands,1,1,4,2,Marseilles ,Semi-finals,54000,1998,France
1998 FIFA World Cup,7/8/1998,France,Croatia,2,1,,,Saint-Denis ,Semi-finals,76000,1998,France
1998 FIFA World Cup,7/11/1998,Netherlands,Croatia,1,2,,,Paris ,Match for third place,45500,1998,France
1998 FIFA World Cup,7/12/1998,Brazil,France,0,3,,,Saint-Denis ,Final,80000,1998,France
2002 FIFA World Cup,5/31/2002,France,Senegal,0,1,,,Seoul ,Group stage,62561,2002,Korea/Japan
2002 FIFA World Cup,6/1/2002,Germany,Saudi Arabia,8,0,,,Sapporo ,Group stage,32218,2002,Korea/Japan
2002 FIFA World Cup,6/1/2002,Republic of Ireland,Cameroon,1,1,,,Niigata ,Group stage,33679,2002,Korea/Japan
2002 FIFA World Cup,6/1/2002,Uruguay,Denmark,1,2,,,Ulsan ,Group stage,30157,2002,Korea/Japan
2002 FIFA World Cup,6/2/2002,Argentina,Nigeria,1,0,,,Ibaraki ,Group stage,34050,2002,Korea/Japan
2002 FIFA World Cup,6/2/2002,England,Sweden,1,1,,,Saitama ,Group stage,52721,2002,Korea/Japan
2002 FIFA World Cup,6/2/2002,Paraguay,South Africa,2,2,,,Busan ,Group stage,25186,2002,Korea/Japan
2002 FIFA World Cup,6/2/2002,Spain,Slovenia,3,1,,,Gwangju ,Group stage,28598,2002,Korea/Japan
2002 FIFA World Cup,6/3/2002,Brazil,Turkey,2,1,,,Ulsan ,Group stage,33842,2002,Korea/Japan
2002 FIFA World Cup,6/3/2002,Croatia,Mexico,0,1,,,Niigata ,Group stage,32239,2002,Korea/Japan
2002 FIFA World Cup,6/3/2002,Italy,Ecuador,2,0,,,Sapporo ,Group stage,31081,2002,Korea/Japan
2002 FIFA World Cup,6/4/2002,China PR,Costa Rica,0,2,,,Gwangju ,Group stage,27217,2002,Korea/Japan
2002 FIFA World Cup,6/4/2002,Japan,Belgium,2,2,,,Saitama ,Group stage,55256,2002,Korea/Japan
2002 FIFA World Cup,6/4/2002,South Korea,Poland,2,0,,,Busan ,Group stage,48760,2002,Korea/Japan
2002 FIFA World Cup,6/5/2002,Germany,Republic of Ireland,1,1,,,Ibaraki ,Group stage,35854,2002,Korea/Japan
2002 FIFA World Cup,6/5/2002,Russia,Tunisia,2,0,,,Kobe ,Group stage,30957,2002,Korea/Japan
2002 FIFA World Cup,6/5/2002,USA,Portugal,3,2,,,Suwon ,Group stage,37306,2002,Korea/Japan
2002 FIFA World Cup,6/6/2002,Cameroon,Saudi Arabia,1,0,,,Saitama ,Group stage,52328,2002,Korea/Japan
2002 FIFA World Cup,6/6/2002,Denmark,Senegal,1,1,,,Daegu ,Group stage,43500,2002,Korea/Japan
2002 FIFA World Cup,6/6/2002,France,Uruguay,0,0,,,Busan ,Group stage,38289,2002,Korea/Japan
2002 FIFA World Cup,6/7/2002,Argentina,England,0,1,,,Sapporo ,Group stage,35927,2002,Korea/Japan
2002 FIFA World Cup,6/7/2002,Spain,Paraguay,3,1,,,Jeonju ,Group stage,24000,2002,Korea/Japan
2002 FIFA World Cup,6/7/2002,Sweden,Nigeria,2,1,,,Kobe ,Group stage,36194,2002,Korea/Japan
2002 FIFA World Cup,6/8/2002,Brazil,China PR,4,0,,,Jeju ,Group stage,36750,2002,Korea/Japan
2002 FIFA World Cup,6/8/2002,Italy,Croatia,1,2,,,Ibaraki ,Group stage,36472,2002,Korea/Japan
2002 FIFA World Cup,6/8/2002,South Africa,Slovenia,1,0,,,Daegu ,Group stage,47226,2002,Korea/Japan
2002 FIFA World Cup,6/9/2002,Costa Rica,Turkey,1,1,,,Incheon ,Group stage,42299,2002,Korea/Japan
2002 FIFA World Cup,6/9/2002,Japan,Russia,1,0,,,Yokohama ,Group stage,66108,2002,Korea/Japan
2002 FIFA World Cup,6/9/2002,Mexico,Ecuador,2,1,,,Miyagi ,Group stage,45610,2002,Korea/Japan
2002 FIFA World Cup,6/10/2002,South Korea,USA,1,1,,,Daegu ,Group stage,60778,2002,Korea/Japan
2002 FIFA World Cup,6/10/2002,Portugal,Poland,4,0,,,Jeonju ,Group stage,31000,2002,Korea/Japan
2002 FIFA World Cup,6/10/2002,Tunisia,Belgium,1,1,,,Oita ,Group stage,39700,2002,Korea/Japan
2002 FIFA World Cup,6/11/2002,Cameroon,Germany,0,2,,,Shizuoka ,Group stage,47085,2002,Korea/Japan
2002 FIFA World Cup,6/11/2002,Denmark,France,2,0,,,Incheon ,Group stage,48100,2002,Korea/Japan
2002 FIFA World Cup,6/11/2002,Saudi Arabia,Republic of Ireland,0,3,,,Yokohama ,Group stage,65320,2002,Korea/Japan
2002 FIFA World Cup,6/11/2002,Senegal,Uruguay,3,3,,,Suwon ,Group stage,33681,2002,Korea/Japan
2002 FIFA World Cup,6/12/2002,Nigeria,England,0,0,,,Osaka ,Group stage,44864,2002,Korea/Japan
2002 FIFA World Cup,6/12/2002,Slovenia,Paraguay,1,3,,,Jeju ,Group stage,30176,2002,Korea/Japan
2002 FIFA World Cup,6/12/2002,South Africa,Spain,2,3,,,Daejeon ,Group stage,31024,2002,Korea/Japan
2002 FIFA World Cup,6/12/2002,Sweden,Argentina,1,1,,,Miyagi ,Group stage,45777,2002,Korea/Japan
2002 FIFA World Cup,6/13/2002,Costa Rica,Brazil,2,5,,,Suwon ,Group stage,38524,2002,Korea/Japan
2002 FIFA World Cup,6/13/2002,Ecuador,Croatia,1,0,,,Yokohama ,Group stage,65862,2002,Korea/Japan
2002 FIFA World Cup,6/13/2002,Mexico,Italy,1,1,,,Oita ,Group stage,39291,2002,Korea/Japan
2002 FIFA World Cup,6/13/2002,Turkey,China PR,3,0,,,Seoul ,Group stage,43605,2002,Korea/Japan
2002 FIFA World Cup,6/14/2002,Belgium,Russia,3,2,,,Shizuoka ,Group stage,46640,2002,Korea/Japan
2002 FIFA World Cup,6/14/2002,Poland,USA,3,1,,,Daejeon ,Group stage,26482,2002,Korea/Japan
2002 FIFA World Cup,6/14/2002,Portugal,South Korea,0,1,,,Incheon ,Group stage,50239,2002,Korea/Japan
2002 FIFA World Cup,6/14/2002,Tunisia,Japan,0,2,,,Osaka ,Group stage,45213,2002,Korea/Japan
2002 FIFA World Cup,6/15/2002,Denmark,England,0,3,,,Niigata ,Round of 16,40582,2002,Korea/Japan
2002 FIFA World Cup,6/15/2002,Germany,Paraguay,1,0,,,Jeju ,Round of 16,25176,2002,Korea/Japan
2002 FIFA World Cup,6/16/2002,Spain,Republic of Ireland,1,1,,,Suwon ,Round of 16,38926,2002,Korea/Japan
2002 FIFA World Cup,6/16/2002,Sweden,Senegal,1,2,,,Oita ,Round of 16,39747,2002,Korea/Japan
2002 FIFA World Cup,6/17/2002,Brazil,Belgium,2,0,,,Kobe ,Round of 16,40440,2002,Korea/Japan
2002 FIFA World Cup,6/17/2002,Mexico,USA,0,2,,,Jeonju ,Round of 16,36380,2002,Korea/Japan
2002 FIFA World Cup,6/18/2002,Japan,Turkey,0,1,,,Miyagi ,Round of 16,45666,2002,Korea/Japan
2002 FIFA World Cup,6/18/2002,South Korea,Italy,2,1,,,Daejeon ,Round of 16,38588,2002,Korea/Japan
2002 FIFA World Cup,6/21/2002,England,Brazil,1,2,,,Shizuoka ,Quarter-finals,47436,2002,Korea/Japan
2002 FIFA World Cup,6/21/2002,Germany,USA,1,0,,,Ulsan ,Quarter-finals,37337,2002,Korea/Japan
2002 FIFA World Cup,6/22/2002,Senegal,Turkey,0,1,,,Osaka ,Quarter-finals,44233,2002,Korea/Japan
2002 FIFA World Cup,6/22/2002,Spain,South Korea,0,0,,,Gwangju ,Quarter-finals,42114,2002,Korea/Japan
2002 FIFA World Cup,6/25/2002,Germany,South Korea,1,0,,,Seoul ,Semi-finals,65256,2002,Korea/Japan
2002 FIFA World Cup,6/26/2002,Brazil,Turkey,1,0,,,Saitama ,Semi-finals,61058,2002,Korea/Japan
2002 FIFA World Cup,6/29/2002,South Korea,Turkey,2,3,,,Daegu ,Match for third place,63483,2002,Korea/Japan
2002 FIFA World Cup,6/30/2002,Germany,Brazil,0,2,,,Yokohama ,Final,69029,2002,Korea/Japan
